WARNING - 2024-05-17 06:38:00,183 - SELECTED DIR UUUUUUFU DOES NOT EXIST
INFO - 2024-05-17 06:43:53,268 - datapoint(name='logger', ext='log', isdir=False, parent='HW15')
INFO - 2024-05-17 06:43:53,268 - datapoint(name='main_file', ext='py', isdir=False, parent='HW15')
INFO - 2024-05-17 06:43:53,268 - datapoint(name='UUUUUUUU', ext=None, isdir=True, parent='HW15')
INFO - 2024-05-17 06:43:53,268 - datapoint(name='dircreator', ext='ipynb', isdir=False, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,269 - datapoint(name='EEEEEEEE', ext=None, isdir=True, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,269 - datapoint(name='MMMMMMMM', ext=None, isdir=True, parent='EEEEEEEE')
INFO - 2024-05-17 06:43:53,269 - datapoint(name='JJJJJJJJ', ext=None, isdir=True, parent='MMMMMMMM')
INFO - 2024-05-17 06:43:53,270 - datapoint(name='OOOOOOOO', ext=None, isdir=True, parent='MMMMMMMM')
INFO - 2024-05-17 06:43:53,271 - datapoint(name='CCCCCCCC', ext=None, isdir=True, parent='OOOOOOOO')
INFO - 2024-05-17 06:43:53,271 - datapoint(name='AAAAAAAA', ext='txt', isdir=False, parent='CCCCCCCC')
INFO - 2024-05-17 06:43:53,271 - datapoint(name='PPPPPPPP', ext=None, isdir=True, parent='OOOOOOOO')
INFO - 2024-05-17 06:43:53,271 - datapoint(name='DDDDDDDD', ext='txt', isdir=False, parent='PPPPPPPP')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='IIIIIIII', ext='txt', isdir=False, parent='PPPPPPPP')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='KKKKKKKK', ext='txt', isdir=False, parent='PPPPPPPP')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='SSSSSSSS', ext=None, isdir=True, parent='PPPPPPPP')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='LLLLLLLL', ext='txt', isdir=False, parent='SSSSSSSS')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='NNNNNNNN', ext='txt', isdir=False, parent='SSSSSSSS')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='RRRRRRRR', ext='txt', isdir=False, parent='SSSSSSSS')
INFO - 2024-05-17 06:43:53,272 - datapoint(name='XXXXXXXX', ext='txt', isdir=False, parent='SSSSSSSS')
INFO - 2024-05-17 06:43:53,273 - datapoint(name='WWWWWWWW', ext='txt', isdir=False, parent='PPPPPPPP')
INFO - 2024-05-17 06:43:53,273 - datapoint(name='VVVVVVVV', ext='txt', isdir=False, parent='MMMMMMMM')
INFO - 2024-05-17 06:43:53,273 - datapoint(name='YYYYYYYY', ext='txt', isdir=False, parent='MMMMMMMM')
INFO - 2024-05-17 06:43:53,273 - datapoint(name='FFFFFFFF', ext='txt', isdir=False, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,273 - datapoint(name='HHHHHHHH', ext=None, isdir=True, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,274 - datapoint(name='AAAAAAAA', ext='txt', isdir=False, parent='HHHHHHHH')
INFO - 2024-05-17 06:43:53,274 - datapoint(name='DDDDDDDD', ext='txt', isdir=False, parent='HHHHHHHH')
INFO - 2024-05-17 06:43:53,274 - datapoint(name='LLLLLLLL', ext='txt', isdir=False, parent='HHHHHHHH')
INFO - 2024-05-17 06:43:53,274 - datapoint(name='IIIIIIII', ext=None, isdir=True, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,274 - datapoint(name='SSSSSSSS', ext=None, isdir=True, parent='IIIIIIII')
INFO - 2024-05-17 06:43:53,275 - datapoint(name='VVVVVVVV', ext='txt', isdir=False, parent='IIIIIIII')
INFO - 2024-05-17 06:43:53,275 - datapoint(name='PPPPPPPP', ext='txt', isdir=False, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,275 - datapoint(name='QQQQQQQQ', ext='txt', isdir=False, parent='UUUUUUUU')
INFO - 2024-05-17 06:43:53,275 - datapoint(name='YYYYYYYY', ext='txt', isdir=False, parent='UUUUUUUU')
